"puer, puerī, m.",2,boy,,
"pugnō, pugnāre, pugnāvī, pugnātus",3,to fight,,
"pulcher, pulchra, pulchrum",5,"beautiful, handsome; fine",,
"putō, putāre, putāvī, putātus",19,"to think, consider; suppose",,
"quaerō, quaerere, quaesīvī (-iī), quaesītus",21,"to look for, seek; ask",,
quam 1,21,"(rather) than, as [in comparison]",,
quam 2,22,"how, how much; as ___ as possible [with superlatives]",,
quamquam,17,although,,
"quantus, quanta, quantum",25,how much,,
"quī, quae, quod" 1,13,"who, which, that",,
"quī, quae, quod" 2,18,which ___? what ___?,,
quia,12,because,,
quid agis?,8,how are you (doing)?,,
"quīdam, quaedam, quoddam",21,"a certain ___, a sort of ___",,
quidem,25,"indeed, certainly in fact",,
"quiquis, quicquid (quidquid)",26,"whoever, whatever; everyone who",,
"quis, quid",18,"who, what",,
quod,12,"because, since",,
quōmodo,28,how ,,
quoniam,21,"since, seeing that",,
quoque,26,also,,
quot,28,how many?,,
quotiēns,28,how often?,,
"rapiō, rapere, rapuī, raptus",14,"to seize, snatch, carry off",,
"ratiō, ratiōnis, f.",11,"reason, judgment; method",,
"recipiō, recipere, recēpī, receptus",32,"to receive, accept; take back, regain",,
"rēctus, rēcta, rēctum",24,"straight, upright; right; virtuous, honest",,
"redeō, redīre, rediī (or -īvī) reditūrus",23,"to go back, return",,
